fid,id,Assets_Threats,Name,Ward,Subward,Subward_asset_id,asset_threat_category,Assets_per_ward_id,latitude,longitude,important_asset_at_risk_per_ward_ID,continued_from_asset_at_risk_id,Important_asset_not_at_risk_per_ward_ID,Evacuation_center_per_ward_ID,At_risk_but_not_important_ID
4406,1,Important asset and at risk,Mgimwa Buildings  ,  Bonyokwa   ,  Bonyokwa   ,,,,-6.820287776,39.16750644,1,,,,
4405,2,Important asset and at risk,G7 Bar,  Bonyokwa   ,  Bonyokwa   ,,,,-6.822865221,39.15672747,2,,,,
,3,Important asset and at risk,  Bonyokwa    Dispensery,  Bonyokwa   ,kisiwani,,,,-6.834958583,39.15959114,3,,,,
,4,Important asset and at risk,Free Pentecoste Church,  Bonyokwa   ,kisiwani,,,,-6.832990462,39.16643242,4,,,,
,5,Important asset and at risk,Kija Playground,  Bonyokwa   ,kisiwani,,,,-6.836476926,39.16717222,5,,,,
,6,Important asset and at risk,Kwa Mama Daudi Madrasat,  Bonyokwa   ,Msingwa,,,,-6.832000195,39.13212279,6,,,,
,7,Important asset and at risk,Kwa Mama Daudi Mosque,  Bonyokwa   ,Msingwa,,,,-6.831812235,39.13209773,7,,,,
1091,8,Important asset and not at risk,Nouyouth Church,  Bonyokwa   ,  Bonyokwa   ,,,,-6.820434592,39.16817527,,,1,,
1089,9,Important asset and not at risk,Calvary Church,  Bonyokwa   ,  Bonyokwa   ,,,,-6.821548533,39.16310428,,,2,,
1090,10,Important asset and not at risk,Open Space,  Bonyokwa   ,  Bonyokwa   ,,,,-6.822494684,39.16396887,,,3,,
1084,11,Important asset and not at risk,Mbegu Mosque,  Bonyokwa   ,  Bonyokwa   ,,,,-6.822591139,39.15812655,,,4,,
1085,12,Important asset and not at risk,Mashiling Bar,  Bonyokwa   ,  Bonyokwa   ,,,,-6.822866926,39.15852102,,,5,,
1095,13,Important asset and not at risk,Pamoja Primary School,  Bonyokwa   ,  Bonyokwa   ,,,,-6.823518044,39.15704857,,,6,,
1092,14,Important asset and not at risk,  Bonyokwa    Mosque,  Bonyokwa   ,  Bonyokwa   ,,,,-6.823527827,39.1673445,,,7,,
1082,15,Important asset and not at risk,Ubalozini Primary School,  Bonyokwa   ,  Bonyokwa   ,,,,-6.823637755,39.15537466,,,8,,
1093,16,Important asset and not at risk,Maduka,  Bonyokwa   ,  Bonyokwa   ,,,,-6.824358679,39.1669262,,,9,,
1087,17,Important asset and not at risk,Martin Mosque,  Bonyokwa   ,  Bonyokwa   ,,,,-6.826362405,39.15808222,,,10,,
1088,18,Important asset and not at risk,Open Space Special For Police Station,  Bonyokwa   ,  Bonyokwa   ,,,,-6.826479571,39.15965728,,,11,,
1083,19,Important asset and not at risk,Agape Nursery,  Bonyokwa   ,  Bonyokwa   ,,,,-6.826484363,39.15583492,,,12,,
1081,20,Important asset and not at risk,Mbaga Mosque,  Bonyokwa   ,  Bonyokwa   ,,,,-6.82693763,39.15336118,,,13,,
1094,21,Important asset and not at risk,Kwa Jonathan Church,  Bonyokwa   ,  Bonyokwa   ,,,,-6.829279994,39.1691255,,,14,,
1044,22,Important asset and not at risk,Kisungu Secondary School,  Bonyokwa   ,Msingwa,,,,-6.835487829,39.1384437,,,15,,
,23,Important asset and not at risk,African Freedom Primary School,  Bonyokwa   ,Msingwa,,,,-6.837983585,39.1264182,,,16,,
,24,Important asset and not at risk,Anglican Church,  Bonyokwa   ,Msingwa,,,,-6.833788163,39.12383924,,,17,,
,25,Important asset and not at risk,Bi Tindwa Mosque,  Bonyokwa   ,Msingwa,,,,-6.833961243,39.13995758,,,18,,
,26,Important asset and not at risk,CCM Office Msingwa,  Bonyokwa   ,Msingwa,,,,-6.837104481,39.12362367,,,19,,
,27,Important asset and not at risk,Check Point,  Bonyokwa   ,Msingwa,,,,-6.833532068,39.13960672,,,20,,
,28,Important asset and not at risk,Fundi Umeme,  Bonyokwa   ,Msingwa,,,,-6.837705365,39.12904305,,,21,,
,29,Important asset and not at risk,Garden Kifuru Pub and Bar,  Bonyokwa   ,Msingwa,,,,-6.838623432,39.12543513,,,22,,
,30,Important asset and not at risk,Hardware shoppe,  Bonyokwa   ,Msingwa,,,,-6.835670699,39.11966124,,,23,,
,31,Important asset and not at risk,`,  Bonyokwa   ,Msingwa,,,,-6.834149203,39.12501477,,,24,,
,32,Important asset and not at risk,Kifuru Primary School,  Bonyokwa   ,Msingwa,,,,-6.835837514,39.12014171,,,25,,
,33,Important asset and not at risk,Kwa Lyimo Water Point,  Bonyokwa   ,Msingwa,,,,-6.83083171,39.12089532,,,26,,
,34,Important asset and not at risk,Kwa Msofe Pharmacy                          ,  Bonyokwa   ,Msingwa,,,,-6.829713349,39.1373888,,,27,,
,35,Important asset and not at risk,Kwa Ndekeja Water Point,  Bonyokwa   ,Msingwa,,,,-6.835922291,39.11995238,,,28,,
,36,Important asset and not at risk,Kwa Ngassa Hall,  Bonyokwa   ,Msingwa,,,,-6.838459989,39.12914608,,,29,,
,37,Important asset and not at risk,Local Pub,  Bonyokwa   ,Msingwa,,,,-6.835683752,39.12151491,,,30,,
